FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
60090NLNDD161CA,INLAND DIE CASTING,NICKEL,   7440-02-0,7440020,Y,Y,Y,161 CARPENTER,WHEELING,COOK,IL,NA,NICKEL,331
60618HFRDY3232N,HU-FRIEDY MFG CO LLC,AMMONIA,   7664-41-7,7664417,N,N,N,3232 N ROCKWELL ST,CHICAGO,COOK,IL,NA,AMMONIA,339
60153CHSPR19THS,CHASE PRODUCTS CO,DICHLOROMETHANE,     75-09-2,75092,Y,Y,Y,2727 GARDNER RD,BROADVIEW,COOK,IL,NA,DICHLOROMETHANE,325
60450RCHHLCOLLI,REICHHOLD LLC 2,DIBUTYL PHTHALATE,     84-74-2,84742,N,Y,N,6350 E COLLINS RD,MORRIS,GRUNDY,IL,NA,DIBUTYL PHTHALATE,325
60629KTLCD4099W,W R GRACE & CO,NICKEL COMPOUNDS,N495,N495,N,Y,Y,4099 W 71ST ST,CHICAGO,COOK,IL,NA,NICKEL COMPOUNDS,325
61068MCLC0100ES,ROCHELLE TERMINAL,1 2 4-TRIMETHYLBENZENE,     95-63-6,95636,N,N,N,100 E STANDARD OIL RD,ROCHELLE,OGLE,IL,NA,1 2 4-TRIMETHYLBENZENE,4247
61012CPRNM200BU,CAPRON MANUFACTURING CO,NICKEL COMPOUNDS,N495,N495,N,Y,Y,200 N BURR OAK RD,CAPRON,BOONE,IL,NA,NICKEL COMPOUNDS,332
60609LLDHS915W3,ALLIED HASTINGS BARREL & DRUM SVC,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",   7664-93-9,7664939,N,N,N,915 W 37TH ST,CHICAGO,COOK,IL,NA,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",332
62243MWGMN501DO,HUBBELL-WIEGMANN,ACETONE,     67-64-1,67641,N,N,N,501 W APPLE ST,FREEBURG,ST CLAIR,IL,NA,ACETONE,332
62263GRWMR17815,LAND O'LAKES PURINA FEED LLC - NASHVILLE IL,MANGANESE COMPOUNDS,N450,N450,N,Y,N,17815 MOCKINGBIRD RD,NASHVILLE,WASHINGTON,IL,NA,MANGANESE COMPOUNDS,311
